Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitCoefficient,DailyReturnPercent
2020-01-01,150.56,150.61,150.01,150.14,7878334,151.2,0.0,1.0,0.09
2020-01-02,149.83,149.89,149.39,149.64,2780798,150.01,0.0,1.0,-0.33
2020-01-03,149.32,150.22,148.76,150.03,11714555,151.22,0.0,1.0,0.26
2020-01-04,151.86,152.53,151.67,151.75,24082477,152.38,0.0,1.0,1.15
2020-01-05,151.89,153.84,151.13,152.63,43187302,153.35,0.0,1.0,0.58
2020-01-06,153.45,153.54,152.99,153.15,6354748,155.33,0.0,1.0,0.34
2020-01-07,152.96,154.63,152.63,153.34,45974694,151.91,0.0,1.0,0.12
2020-01-08,153.78,154.12,152.32,152.61,26464823,151.21,0.0,1.0,-0.48
2020-01-09,151.49,152.14,149.95,150.07,3154210,151.9,0.0,1.0,-1.66
2020-01-10,151.72,152.85,150.28,150.83,34502842,150.2,0.0,1.0,0.51
2020-01-11,149.89,150.38,148.77,149.19,40230901,148.76,0.0,1.0,-1.09
2020-01-12,151.18,151.46,150.19,151.15,8358428,149.05,0.0,1.0,1.31
2020-01-13,151.54,152.31,150.35,151.27,17872115,154.12,0.0,1.0,0.08
2020-01-14,152.15,153.51,151.08,151.73,44014218,150.76,0.0,1.0,0.3
2020-01-15,149.74,151.18,148.3,151.1,12989124,151.15,0.0,1.0,-0.42
2020-01-16,152.47,153.49,152.07,152.6,11841372,152.84,0.0,1.0,0.99
2020-01-17,150.6,151.25,150.56,151.2,21636923,149.62,0.0,1.0,-0.92
2020-01-18,149.52,150.98,147.89,150.91,36749305,152.51,0.0,1.0,-0.19
2020-01-19,151.11,151.64,149.37,150.33,15213536,152.91,0.0,1.0,-0.38
2020-01-20,151.18,151.98,149.84,150.64,35733926,150.35,0.0,1.0,0.21
2020-01-21,148.72,149.83,147.54,147.56,48502401,148.33,0.0,1.0,-2.04
2020-01-22,149.0,149.14,148.52,148.93,15377188,149.16,0.0,1.0,0.93
2020-01-23,149.23,149.72,148.28,148.87,7330097,146.47,0.0,1.0,-0.04
2020-01-24,148.74,150.2,147.39,150.16,7604711,147.52,0.0,1.0,0.87
2020-01-25,148.6,148.98,147.53,147.73,13313673,146.42,0.0,1.0,-1.62
2020-01-26,147.5,149.22,146.4,146.54,37278242,148.51,0.0,1.0,-0.81
2020-01-27,147.93,148.26,146.96,147.24,27913358,149.61,0.0,3.0,0.48
2020-01-28,146.3,147.87,145.39,146.44,38296980,147.39,0.0,1.0,-0.54
2020-01-29,145.31,145.43,143.84,143.94,22045662,141.39,0.0,1.0,-1.71
2020-01-30,145.35,145.66,143.43,143.61,13470502,141.13,0.0,1.0,-0.23
2020-01-31,143.23,145.11,142.09,143.84,3667017,144.53,0.0,1.0,0.16
2020-02-01,143.93,145.8,143.52,145.15,17017943,143.79,0.0,1.0,0.91
2020-02-02,144.98,146.84,143.11,143.14,42685291,145.99,0.0,1.0,-1.38
2020-02-03,141.99,142.52,140.12,142.23,17393649,141.49,0.0,1.0,-0.64
2020-02-04,143.04,144.26,141.07,143.16,1524999,144.12,0.0,1.0,0.65
2020-02-05,141.57,143.33,141.04,143.08,38126210,141.11,0.0,1.0,-0.06
2020-02-06,142.45,143.82,140.74,142.3,17852461,144.61,0.0,1.0,-0.55
2020-02-07,141.99,142.54,141.98,142.41,43755954,145.14,0.0,1.0,0.08
2020-02-08,143.23,144.35,143.01,144.28,47373541,146.61,0.0,1.0,1.31
2020-02-09,144.61,144.91,144.36,144.53,3677299,146.84,0.0,1.0,0.17
2020-02-10,142.94,144.5,141.17,142.52,42651888,143.94,0.0,1.0,-1.39
2020-02-11,141.17,142.77,140.82,141.62,13036690,142.96,0.0,1.0,-0.63
2020-02-12,142.83,144.56,141.21,142.1,48061982,139.87,0.0,1.0,0.34
2020-02-13,140.99,142.62,140.07,140.85,16273674,139.29,0.0,1.0,-0.88
2020-02-14,139.96,140.1,138.41,139.0,35185636,138.44,0.0,1.0,-1.31
2020-02-15,140.76,140.99,138.82,139.21,18815146,136.64,0.0,1.0,0.15
2020-02-16,140.36,141.23,138.39,138.72,39694168,137.0,0.0,1.0,-0.35
2020-02-17,138.8,140.41,137.43,140.23,46005117,138.53,0.0,1.0,1.09
2020-02-18,141.91,143.16,140.58,140.9,21154286,140.94,0.0,1.0,0.48
2020-02-19,141.69,142.8,141.31,142.3,26444008,143.31,0.0,1.0,0.99
2020-02-20,141.5,142.6,141.5,141.82,29849305,143.44,0.0,1.0,-0.34
2020-02-21,141.59,142.94,140.57,142.45,12387796,143.36,0.0,1.0,0.44
2020-02-22,142.93,143.12,141.03,141.52,21831897,139.96,0.0,1.0,-0.65
2020-02-23,140.5,141.45,138.8,138.99,28812665,141.14,0.0,1.0,-1.79
2020-02-24,138.53,139.33,138.23,138.99,8152952,140.54,0.0,1.0,0.0
2020-02-25,139.77,140.7,138.66,140.53,9144237,140.29,0.0,1.0,1.11
2020-02-26,142.48,143.67,140.58,143.33,42114401,145.14,0.0,1.0,1.99
2020-02-27,144.96,145.85,144.64,145.68,31203670,144.28,0.0,1.0,1.64
2020-02-28,146.74,147.78,145.49,146.12,6199819,147.37,0.0,1.0,0.3
2020-02-29,147.69,147.85,147.39,147.57,11254587,148.79,0.0,1.0,0.99
2020-03-01,147.74,148.57,147.33,147.85,40196905,150.49,1.77,1.0,0.19
2020-03-02,147.76,149.65,147.16,148.13,29120042,148.36,0.0,1.0,0.19
2020-03-03,149.72,150.7,149.17,149.91,27095765,148.93,0.0,1.0,1.2
2020-03-04,148.57,149.5,148.31,149.05,2809687,151.48,0.0,1.0,-0.57
2020-03-05,147.39,148.25,145.66,146.13,18458794,145.42,0.0,1.0,-1.96
2020-03-06,147.17,147.93,145.67,147.55,17929655,149.53,0.0,1.0,0.97
2020-03-07,145.76,147.66,145.31,145.47,44738514,142.79,0.0,1.0,-1.41
2020-03-08,146.83,148.07,146.35,147.16,8676545,147.54,0.0,1.0,1.16
2020-03-09,148.23,148.57,147.02,148.18,8686170,149.83,0.0,1.0,0.69
2020-03-10,148.49,150.35,147.34,150.07,26186423,149.45,0.0,1.0,1.28
2020-03-11,150.83,152.08,150.63,151.75,46919846,152.36,0.0,1.0,1.12
2020-03-12,152.88,153.57,152.02,152.59,34954453,153.49,0.9,1.0,0.55
2020-03-13,152.32,153.04,150.54,151.69,11267062,151.3,0.0,1.0,-0.59
2020-03-14,150.77,152.39,149.69,151.0,30230909,152.97,0.0,1.0,-0.45
2020-03-15,149.98,151.85,149.42,150.52,32186057,150.94,0.0,1.0,-0.32
2020-03-16,150.5,151.15,149.52,150.1,18337736,149.14,0.0,1.0,-0.28
2020-03-17,149.21,149.23,147.31,147.47,49323392,146.92,0.0,1.0,-1.75
2020-03-18,147.37,148.79,146.47,146.51,20745815,144.88,0.0,1.0,-0.65
2020-03-19,146.84,147.79,145.78,146.64,37935945,145.65,0.0,1.0,0.09
2020-03-20,145.65,145.89,145.26,145.34,36961221,147.96,0.0,1.0,-0.89
2020-03-21,146.29,146.84,145.11,146.43,41049948,145.16,0.0,1.0,0.75
2020-03-22,145.34,145.7,145.31,145.52,19408721,142.87,0.0,1.0,-0.62
2020-03-23,147.3,148.58,145.79,146.08,1823117,146.51,0.0,1.0,0.38
2020-03-24,144.82,144.92,142.94,143.89,5385123,143.32,0.0,1.0,-1.5
2020-03-25,142.1,142.4,140.97,141.4,17655813,139.24,0.0,1.0,-1.73
2020-03-26,142.56,143.01,141.51,142.19,30710503,141.04,0.0,1.0,0.56
2020-03-27,142.46,142.58,140.54,140.74,14944410,141.45,0.0,1.0,-1.02
2020-03-28,139.7,140.8,139.39,139.97,47262913,140.5,0.0,1.0,-0.55
2020-03-29,140.8,142.21,139.89,141.48,18753960,143.11,0.0,1.0,1.08
2020-03-30,143.21,144.06,142.12,143.38,18826293,145.25,0.0,1.0,1.34
2020-03-31,142.61,144.11,141.47,142.23,9345232,142.05,0.0,1.0,-0.8
2020-04-01,141.32,142.4,140.44,141.61,29992952,142.94,0.0,1.0,-0.44
2020-04-02,140.53,141.88,138.81,140.61,2392203,143.42,0.0,1.0,-0.71
2020-04-03,138.77,140.28,137.83,139.43,19666771,137.65,0.0,1.0,-0.84
2020-04-04,139.4,139.58,138.7,138.99,45971898,136.79,0.0,1.0,-0.32
2020-04-05,138.97,140.3,138.17,139.79,3462702,139.54,0.0,1.0,0.58
2020-04-06,141.67,142.48,140.64,142.46,45134841,144.56,0.0,1.0,1.91
2020-04-07,142.53,143.78,141.53,142.52,4463607,140.83,0.0,1.0,0.04
2020-04-08,142.27,143.67,142.03,143.63,41860685,145.35,0.0,1.0,0.78
2020-04-09,141.68,142.5,141.23,142.3,8614246,142.08,0.0,1.0,-0.93
2020-04-10,142.29,143.72,141.27,141.94,33379998,144.67,0.0,1.0,-0.25
2020-04-11,141.47,143.31,140.45,142.96,5684875,141.68,0.0,1.0,0.72
2020-04-12,144.7,145.72,143.06,143.81,21035743,145.75,0.0,1.0,0.59
2020-04-13,145.27,146.16,144.3,144.92,37468974,144.21,0.0,1.0,0.77
2020-04-14,146.84,147.32,146.07,147.14,28566650,144.45,0.0,1.0,1.53
2020-04-15,148.39,149.16,147.06,148.78,11207615,148.75,0.0,1.0,1.11
2020-04-16,149.14,150.88,147.39,148.93,36295979,151.38,0.37,1.0,0.1
2020-04-17,150.81,150.96,149.25,149.7,42826230,150.85,0.0,1.0,0.52
2020-04-18,151.11,152.83,150.35,151.14,49232309,153.48,0.0,1.0,0.96
2020-04-19,151.61,152.08,150.24,150.77,16266345,152.26,0.0,1.0,-0.24
2020-04-20,151.3,153.05,150.41,152.24,2942617,149.48,0.0,1.0,0.97
2020-04-21,151.74,152.03,150.68,151.44,13083413,149.44,0.0,1.0,-0.53
2020-04-22,151.92,152.4,150.09,150.42,31947246,151.25,0.0,1.0,-0.67
2020-04-23,152.02,152.95,151.44,152.27,5956788,151.92,0.0,1.0,1.23
2020-04-24,152.83,153.68,152.33,153.47,14369226,156.54,0.0,1.0,0.79
